Gene,Wtrep1,Wtrep2,Wtrep3,Kocna1rep1,Kocna1rep2,Kocrz1rep1,Kocrz1rep2,Kocrz1rep3,pmc1005,pmc1006,pmc1007,Wtpmc1008,Wtpmc1009,Wtpmc1010
CNAG_03211,62,93,163,194,85,51,127,200,1,3,5,0,0,1
CNAG_03212,171,544,360,816,598,210,736,630,9,19,11,4,7,3
CNAG_03213,8977,5247,6049,4543,4399,5960,9199,7345,12,27,24,46,29,45
CNAG_03214,545,1223,972,1815,1114,621,2150,1275,7,8,10,11,9,8
CNAG_03215,317,392,611,358,254,299,674,635,5,6,6,8,11,10
CNAG_03216,846,1046,909,843,671,511,1314,840,3,11,15,3,3,2
CNAG_03217,1969,2216,2670,2234,1836,1679,3045,2323,7,14,13,8,10,8
CNAG_03220,5672,3233,3780,3665,3238,4026,4878,3430,15,21,37,22,26,20
CNAG_03221,975,2511,2066,2638,1515,1001,3736,1865,32,93,101,216,156,203
CNAG_03222,11,40,18,45,48,18,46,30,0,0,2,3,0,1
CNAG_03223,27657,42463,50302,3168,2681,912,3210,2010,408,1099,1168,459,367,547
CNAG_03224,70,59,72,1,8,12,13,18,0,0,2,0,0,0
CNAG_03225,21710,18288,20818,21214,15393,16173,33554,20427,84,185,308,283,214,277
CNAG_03226,11391,10445,13498,14641,10957,10579,18657,11314,38,122,155,220,162,213
CNAG_03227,4799,4641,9007,1559,1266,1950,4220,2711,21,54,63,26,18,26
CNAG_03228,8208,6950,10073,2715,2175,3659,6589,4124,18,65,74,40,19,37
CNAG_03229,1,0,0,0,0,0,1,2,0,0,0,0,0,0
